,id,channel,publishedAt,title,description,views,likes,dislikes
20,Q5qX6R738Lk,Max Tech,2022-05-24 18:16:06+00:00,Sony WH-1000XM5 vs AirPods Max: Is Apple Falling BEHIND?,"Sony made some HUGE improvements with their wh1000XM5 headphone, but are they finally BETTER than the AirPods Max? I would buy THESE ➡ https://geni.us/3exbt  Sony XM5 Headphones ➡ https://geni.us/A6BKHFv Discounted AirPods Max ➡ https://geni.us/3exbt  If you enjoyed this video, please subscribe to help us reach 1 million subscribers before the end of the year! We would greatly appreciate it!   Timestamps ⬇️ Sony XM5 vs AirPods Max - 00:00 Design & Case - 01:57 Comfort - 02:32 Controls & Buttons - 04:34 Noise Cancellation - 05:42 Transparency & Ambient Mode - 07:16 XM5 Downfall - 08:20 Test Song #1 EDM - 08:44 Best Sony EQ Modes - 08:44 Sony #2 Modern Classical - 10:09 Sound Leakage Test - 11:40 Sound Stage - 12:09 Song #3 Rock Music - 12:38 Microphone Comparison - 14:40 Final Verdict! - 15:21   Xcode Benchmark built for Max Tech by Maxim Eremenko ➡ https://github.com/devMEremenko/XcodeBenchmark  WeTest PerfDog is what we use to test FPS. Full mobile platform performance test and analysis tool: https://www.wetest.net/?utm_source=ga&utm_medium=YTEU-5  Max Tech Wallpapers ➡ https://bit.ly/2WNc6Qw Buy one of our NEW T-Shirts to help support us! ➡ https://max-tech-store.creator-spring.com/ ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~ Shop on Amazon ➡ https://geni.us/wB2mWqd Shop on B&H ➡ https://bhpho.to/2kfoI34 Shop on Adorama ➡ https://bit.ly/2R7qezq   10% off unlimited yearly music licensing on Soundstripe (what I use for all my videos) use coupon code ""Max"" here: http://soundstripe.grsm.io/e/6lv  Shot with (Amazon) ➡ https://geni.us/XE0r Lens (B&H) ➡ https://bhpho.to/2DZerxL  Mic (Amazon)➡ https://geni.us/83CN3V5  If you enjoy our content please consider supporting us on Patreon. Even $2 a month helps us make more and better content for you! https://www.patreon.com/MaxYuryev -~-~~-~~~-~~-~- PRIVACY POLICY and FULL DISCLOSURE: °Max Tech is a participant in the Amazon Services LLC Associates Program, an affiliate advertising program designed to provide a means for sites to earn advertising fees  by advertising and linking to amazon.com °Max Tech is a participant in the B&H Photo Video affiliate program that provides an advertising commission if you purchase through our links.  °If you purchase something from our affiliate links will get a small commission with no extra cost to you. This makes it possible for us to make more videos. Thank you!  °We DO NOT collect, store, use, or share any data about you. -~-~~-~~~-~~-~-",173498,3914,0
21,ixnKKDKTbzE,Passion for Sound,2022-08-20 15:00:23+00:00,Sony WH-1000XM5 Wireless Headphones - Are they actually for audiophiles?,"A review of the Sony WH-1000XM5 wireless headphones with active noise cancelling. Get them here: 🇺🇸 https://amzn.to/3ob9n1g 🇦🇺 https://amzn.to/3chW8t2 🇨🇦 https://amzn.to/3uUIEd3 🇬🇧 https://amzn.to/3uUILoZ This review includes custom EQ setting recommendations and comparison with the HiFiMan HE-R9.  PASSION FOR SOUND RECOMMENDS Check out this link for an ever-evolving list of the products I recommend, including links to make your research and purchasing easier! https://bit.ly/PFSRecommends  Join the Passion for Sound family: https://www.patreon.com/passionforsound  00:00 Introduction 01:13 Glamour video 01:44 Design & comfort 04:10 Key features 11:37 A comment about packaging 13:34 Sound quality 15:30 Using EQ to improve the XM5 20:48 WH-1000XM5 vs HiFiMan HE-R9 24:23 Final conclusions  Like the music in this video? You can get it here: https://www.epidemicsound.com/referral/ofkioc/ Giveaway terms and conditions: https://bit.ly/PFSTandC  SUPPORT THE CHANNEL Join my Patreon: https://www.patreon.com/passionforsound One-off donations: paypal.me/lachfen Buy some merchandise: https://shop.spreadshirt.com.au/passion-for-sound/ Or put one of these links in your bookmarks for all of your future purchases of ANYTHING: 🌏 Linsoul: https://tinyurl.com/PfSLinsoul 🌏 HiFiGo: https://bit.ly/3og89Tn 🇺🇸 & 🇨🇦 Apos: https://tinyurl.com/Apos-P4S 🇺🇸 Amazon: https://amzn.to/3dtyiWQ 🇨🇦 Amazon: https://amzn.to/3xUl1Rc 🇦🇺 Amazon: https://amzn.to/2U7lqOp 🇬🇧 Amazon: https://amzn.to/3xaUMo 🌏 Drop: https://massdrop.7eer.net/d07P2  (Affiliate links help to support the channel - thank you!)  Reviews filmed using: Sony ZV-1: 🇺🇸 https://amzn.to/32aa7Mw 🇨🇦 https://amzn.to/3clV4Bk 🇬🇧 https://amzn.to/3kGcSM4 🇦🇺 https://amzn.to/3CoXfyD Sony A7R III: 🇺🇸 https://amzn.to/3mnR0nS 🇨🇦 https://amzn.to/2St0uE5 🇬🇧 https://amzn.to/34YIWlU 🇦🇺 https://amzn.to/3g1b26q Sony FE 24mm F/1.4: 🇺🇸 https://amzn.to/3kuHVIf 🇨🇦 https://amzn.to/3jcChNd 🇬🇧 https://amzn.to/3pD2u98 🇦🇺 https://amzn.to/355SeMQ Blue Encore 300 mic: 🇺🇸 https://amzn.to/3oreKae 🇨🇦 https://amzn.to/3vVJwMj 🇦🇺 https://amzn.to/3g6NHjy Scarlett 2i2 Audio Interface: 🇺🇸 https://amzn.to/36hRFkn 🇨🇦 https://amzn.to/3dyCtmD 🇬🇧 https://amzn.to/3zfxvEa 🇦🇺 https://amzn.to/2RCeMC3 Neewer Bi-color 660 LED lights: 🇺🇸 https://amzn.to/2E1BNrh 🇨🇦 https://amzn.to/3xSwpgi 🇬🇧 https://amzn.to/3csS6Ly 🇦🇺 https://amzn.to/3g4Id90  #audiophile #audioreview #wirelessheadphones",17901,621,0
22,fNtwLmbp_mM,Audio Advice,2022-08-04 15:27:26+00:00,Sony WH-1000XM5 Tips & Tricks // Setup Guide - Get the MOST out of your XM5's!,"WATCH our Sony XM5 REVIEW: https://youtu.be/oZmzYKIQCrY Check out our detailed written article 📚  https://audioadvice.io/XM5tipstricks Subscribe! 🔔 http://audioadvice.io/YTsubscribe  If you are reading this, you are probably either a lucky new owner of the new Sony WH-1000XM5 Wireless Noise-Canceling Headphones, or perhaps just you’re shopping around and wondering how the setup will go. For those of you who are new owners, congratulations! As with most things that can offer greater performance than the competition, going through a few steps first will help you get the most out of your new headphones. This short guide is meant to get you up and running with your WH-1000XM5 quickly.  🎬 Watch our Home Theater Showcases: https://audioadvice.io/Showcases 🎬 ⚖️ Calibrate your Home Theater: https://audioadvice.io/CalibrateYourTheater ⚖️ 🎞 Home Theater Design Tool: https://audioadvice.io/HTDesignGuide 🎞  📱Follow Us 📱 Instagram ➡ https://www.instagram.com/audio.advice/ Facebook ➡ https://www.facebook.com/audioadvicenc/ TikTok ➡ https://www.tiktok.com/@audio_advice  #sony  #XM5 #noisecancellingheadphones   Chat with us online 💻 https://audioadvice.io/aa-chat ☎️ Call for sales and support: 888.899.8776",86983,1257,0
23,-7EustHpOBc,Darko Audio,2022-10-08 14:30:58+00:00,Sony WH-1000XM5 vs. Bowers & Wilkins Px7 S2 -- an AUDIOPHILE'S REVIEW!,"👉🏻 This episode is brought to you by Patreon: https://www.patreon.com/johndarko  🎥  Camera: Olaf von Voss    🎬  Editor: John Darko    🕺🏻  Motion GFX: John Darko    💰  Ad segment: Jana Dagdagan  🛋 My listening room in 2022: https://darko.audio/darkos-listening-room-2022/  🎵  Song IDs? Playlists of all music heard in this video - and other videos - can be found on PATREON: https://www.patreon.com/johndarko  0:00 Intro 0:42 Sound quality 4:29 Carry case, build quality & comfort 7:50 Bluetooth codecs, connection stability 10:15 Control & haptics 12:16 Active noise cancellation 15:49 Phone call quality 17:08 Smartphone apps 18:24 vs. Apple AirPods Max? 19:43 Which one is best? 23:04 Whatabout? 23:17 Bloopers  👉🏻 As seen in this video...  Sony WH-1000XM5 🛒  (US) https://howl.me/cigxHt3J88C 🛒  (UK) https://amzn.to/3RLdCNB  Bowers & Wilkins Px7 S2 🛒  (US) https://howl.me/cigxJc8BwiG  Google Pixel 6 🛒  (US) https://amzn.to/3SO93DA 🛒  (UK) https://amzn.to/3CEXw3x  Apple iPhone 13 Mini 🛒  (US) https://amzn.to/3yoraHL 🛒  (UK) https://amzn.to/3ynMxsV  Roon ARC streaming app 📖 https://darko.audio/2022/09/podcast-roon-arc-is-your-very-own-private-streaming-service/  #headphones #sony #bowersandwilkins   __________________________________________________________________ ⏰  HOW OUR YOUTUBE VIDEOS GET MADE: https://darko.audio/2021/10/how-our-youtube-videos-get-made/  Darko.Audio FAQ: https://darko.audio/faq/  Why are/were comments turned OFF? https://darko.audio/2020/10/why-im-switching-off-youtube-comments/  What the bloody hell am I talking about? https://youtu.be/MBzHB9877fg  How is Darko.Audio funded? https://darko.audio/funding/  Darko.Audio may earn a small commission from items purchased via affiliate links. __________________________________________________________________ DID YOU KNOW WE HAVE A PODCAST? https://podcasts.apple.com/us/podcast/darko-audio/id1368388920 https://open.spotify.com/show/1mnKixperZd4zmJWCvEbNl https://soundcloud.com/johnhdarko  __________________________________________________________________ Darko.Audio is a web magazine covering new and exciting developments in the audio world and we aren’t afraid of indie rock or techno.  Web: https://Darko.Audio Instagram: https://www.instagram.com/darkoaudio/ Facebook: https://www.facebook.com/Darkodotaudio",227561,7097,0
24,zx0-H5r4hao,Payette Forward,2022-06-07 18:45:03+00:00,Sony XM5 Review & Comparison: DON'T BUY THEM!,"David & David review the Sony XM5 headphones and compare them to four of the most popular over-ear headphones: AirPods Max, Bose QuietComfort 45, Sony XM4, and Bose Noise Cancelling Headphones 700. Which will reign as king of noise cancellation?  0. Intro [0:00] 1. Sony XM5 Unboxing & Review [0:20] 2. Sony XM5 vs. AirPods Max [3:24] 3. Sony XM5 vs. Bose QC45 [6:23] 4. Sony XM5 vs. Sony XM4 [8:40] 5. Should I Upgrade From Sony XM4s To Sony XM5s? [11:31]  6. Sony XM5 vs. Bose Noise Cancelling Headphones 700 [11:56] 7. The King Of Noise Cancellation [14:47]  💰 Where to buy:  🎧 Sony WH-1000XM5: https://geni.us/sony-xm5 (Amazon) 🎧 Apple AirPods Max: https://geni.us/QVdpCFA (Amazon)  🎧 Bose QuietComfort 45: https://geni.us/bcTBm8Y (Amazon) 🎧 Sony WH-1000XM4: https://geni.us/v9ut6 (Amazon) 🎧 Bose Noise Cancelling Headphones 700: https://geni.us/tvAq (Amazon)  We may receive a commission if you make a purchase after clicking one of the links above. It's a great way to support our channel — we appreciate it! 🙏  👾 Join our NEW Discord: https://discord.gg/Bp6wdCuZT4 👾  🎁 Join this channel to get access to perks: https://www.youtube.com/channel/UCiIhoHKPMHm0tpga58IBQNQ/join  📱 For awesome iPhone fixes and tips, check out our website, Payette Forward: https://www.payetteforward.com  📱 Compare every cell phone, every plan, and every carrier on UpPhone: https://www.upphone.com/  👋 Get Social With Payette Forward: On Facebook: https://www.facebook.com/payetteforwardinc On Twitter: https://twitter.com/payetteforward On Instagram: https://www.instagram.com/payetteforward/  #xm5 #sony #bose #airpods #apple #comparison #xm4 #headphones #review",133173,2323,0
25,OYW5jNANmv0,Audio Zone,2023-07-20 13:15:02+00:00,Beats Studio Pro Vs Sony WH-1000XM5 - Which One You Should Pick?,"The brand-new Beats Studio Pro comes with a ton of new features that solidify the unique appeal of the company as a brand that relies on a dual ecosystem. However, Sony WH-1000XM5 still, as expected, holds up to be Sony’s latest flagship noise-canceling headphones. in this video, we are going to show you side by side comparison of Beats Studio Pro vs Sony WH-1000XM5 to help you find out which one is now best for you. ------------------------------------------------------------------------ Beats Studio Pro Vs Sony WH 1000XM5 Affiliate link:  Beats Studio Pro Link: https://fave.co/3Q4B5fu  Sony WH 1000XM5 Link: https://fave.co/3DjL0Ga ------------------------------------------------------------------------ ***Music Source:  YouTube Audio Library  ***Video Sources: **Sony - Global: https://www.youtube.com/@Sony **Sony Electronics Asia Pacific: https://www.youtube.com/@sonyasia **Beats by Dre: https://www.youtube.com/@beatsbydre **BOSE - SEKIHE: https://www.youtube.com/@bose-sekihe2771 **Apple Australia: https://www.youtube.com/@AppleAustralia ------------------------------------------------------------------------ Our social media:  Facebook: facebook.com/audiozone21 Instagram: instagram.com/audiozone21 ------------------------------------------------------------------------ Disclaimer: The following video abides by the YouTube Community Guideline. All the footage used in this video is for educational purposes and all the information covered in this video was collected from official sources. ***Footage, music, images, and graphics used in the video falls under YouTube Fair Usage Policy Under Section 107 of the Copyright Act 1976. If you have any copyright issues, please contact us.  #BeatsStudioPro #wh1000xm5 #sony",14866,144,0
26,hX_KUPazZmw,Sony Europe,2022-05-26 12:49:28+00:00,How to use Touch Control on the Sony WH-1000XM5 Wireless Noise Cancelling Headphones,Discover the Sony WH-1000XM5 Wireless Noise Cancelling Headphones: https://www.sony.co.uk/electronics/headband-headphones/wh-1000xm5?cid=sco-eu-39165   Our new headphones rewrite the rules for distraction-free listening and call clarity - and you can control them with simple touch controls! Use this video guide to learn how to control:  00:04 Playback (Play/Pause/Volume up/Volume down/Next track/Previous track) 00:17 Quick Attention Mode 00:20 Speak-to-Chat 00:25 Voice Assistant 00:28 Incoming calls (Answer/Reject/adjust volume/Transfer/End) 00:52 Noise Cancelling/Ambient Sound Mode 00:56 Power button (Battery check/Power ON/Power OFF/Bluetooth® Pairing),110526,1721,0
27,uAb6t7aiMhs,EL JEFE REVIEWS,2022-05-14 21:00:11+00:00,24 Hours with Sony WH-1000XM5 - What You NEED to Know!,"Buy the Sony WH-1000XM5 Here ➤ https://geni.us/SonyXM5 [Amazon & Best Buy]  The Sony WH-1000XM5 Noise Cancelling Headphones have arrived and I'm here to give you my initial impressions after 24 hours! I will also be comparing them against the Sony WH-1000XM4 along with the best from Bose, Apple, and Technics.  ❤️ Get your own 'Soul' shirts here ❤️  ➤ https://beats4hope.com/collections/new-arrivals/products/soulful-unisex-t-shirt  ➡️ Sony WH-1000XM5 ⬅️ ➤ https://geni.us/SonyXM5 [Amazon & Best Buy]  OTHER HEADPHONES IN THIS SONY WH-1000XM5 VIDEO:  ➡️ Technics A800 ⬅️ ➤ https://geni.us/xwFdfC5 [Amazon]  ➡️ Sony WH-1000XM4 ⬅️ ➤ https://geni.us/vcxUqW [Amazon]  ➡️ Bose QuietComfort 45⬅️ ➤ https://geni.us/S96up [Amazon]  ➡️ Apple AirPods Max ⬅️ ➤ https://geni.us/4odgkQQ [Amazon]  ➡️ About EL JEFE's Sony WH-1000XM5 video ⬅️  EL JEFE's Sony WH-1000XM5 video was produced following 24 hours time spent with a review sample on loan from a friend of the channel. Tested daily at home by Jeff (EL JEFE REVIEWS) himself.  EL JEFE REVIEWS does not produce paid reviews. Sony have not provided any monetary compensation and were afforded no preview or copy approval rights concerning this content.  ➡️ Check out my TOP 5 Truly Wireless Earbuds under $50! ⬅️ ➤ https://youtu.be/UqQJGEDTr4o  ➡️ Check out my TOP 5 ANC Earbuds under $100! ⬅️ ➤ https://youtu.be/uqFARurDeI4  My HiFi Gear: ➡️ My Speaker Amplifier ⬅️ ➤ https://geni.us/MPvZdfQ  ➡️ My Headphone Amplifier ⬅️ ➤ https://geni.us/4jWBjF  ➡️ My DAC ⬅️ ➤ https://geni.us/wrDd  ➡️ My Speakers ⬅️ ➤ https://geni.us/N4Jg74  ➡️ My Headphones ⬅️ ➤ https://geni.us/DropAeonOpenX  TIP JAR to help support the channel directly! No Obligation.  ➡️ Cash App: $ELJEFEREVIEWS ➡️ Paypal: paypal.me/Jmendez1 ➡️ Venmo: @ELJEFEREVIEWS ---------------------------------------------------------------------------------------------------------- ➡️ Amazon Promotions ⬅️ Give the Gift of Audible! 3, 6, and 12 months available!:  ➤ https://geni.us/JgXK9A  Try Amazon Prime 30-Day FREE TRIAL!:  ➤ https://geni.us/9LMGeX  ➤ As an Amazon Associate I earn from qualifying purchases.  ➡️ Get your own customizable shades from CityLocs! They are giving my community 10% off using the link below.⬅️ ➤  Code: EL JEFE  ➤  https://citylocs.com/discount/EL%20JEFE ------------------------------------------------------------------------------------------------- #ELJEFE #SonyWH1000XM5 #SonyXM5 --------------------------------------------------------------------------------------------------- Connect with me on Social Media: ➤ Twitter: https://twitter.com/ELJefeReviews ➤ Instagram: https://www.instagram.com/eljefereviews/ ➤ Facebook: https://www.facebook.com/ELJefeReviews/  *****************SHOW NOTES ************************  All Music By:  ➤ www.epidemicsound.com -----------------------------------------------------------------------------------------------------------  Disclaimer: As an Amazon Associate I earn from qualifying purchases.  Thank you for watching and thank you for your continued support!  ⏱️TIME STAMPS⏱️ 00:00 Start 00:15 Disclosure 01:19 Are the Sony XM5 Comfortable? 01:59 Do the Sony XM5 get hot? 02:34 Sony WH1000XM5 Build Quality 03:15 Why the Design Change? 04:08 How is the XM5 Noise Cancellation? 05:21 Is the Ambient Mode Improved? 06:00 Sony WH1000XM5 Sound Quality 07:39 Worth Upgrading From XM4? 08:12 Sony XM5 vs Soundcore Life Q35 08:45 Biggest Difference between XM4 and XM5? 09:01 XM5 Comfortable with Glasses? 09:42 Comparison Section Explained 10:10 Comfort Ranking 10:56 ANC Ranking 11:51 Ambient Ranking 12:33 Sound Quality Ranking 13:28 Mic Samples (Call Quality)",77787,1893,0
28,Aw7MHWa7WvU,iFixit,2023-06-18 15:00:11+00:00,How Repairable are the Sony WH1000-XM5? #ifixitteardown #headphones #repairableheadphones,Subscribe to our channel for all our latest teardown and repair videos!
29,A1QATroTs1Y,Marc Taraz Steiner,2022-08-24 14:00:05+00:00,Sony WH-1000XM5 vs AirPods Max | I'm Disappointed,"Sony WH1000-XM5 vs Airpods Max, the two best headphones on the market. Last time I said Sony was the winner, but is that true this time?  Buy the Sony XM5: https://geni.us/9APGx Buy the Airpods Max: https://geni.us/mAkv6Y5 Buy the Sony XM4: https://geni.us/oKy1Pt  0:00 Intro 0:18 Design & Comfort 0:37 Controls 2:29 Noise Cancelling 3:12 Transparency Mode 3:56 Call Quality 5:57 Multi Device Support 7:21 Sound Quality 10:25 Final Thoughts  Follow me! https://www.instagram.com/marctaraz/ https://twitter.com/MarcTaraz  My Website! https://www.marctarazsteiner.com  Presets & LUTs https://www.marctarazsteiner.com/shop  Print Shop: https://marctaraz.darkroom.tech/  The Wide Angle Podcast: https://open.spotify.com/show/08O3GqR2QqFbAnW9ItcZQW https://podcasts.apple.com/us/podcast/wide-angle/id1515165784  Where I get my Music: http://share.epidemicsound.com/3rcDWP  MY GEAR: Sony A7SIII: https://geni.us/eVZYFi4 Sony A7IV: https://geni.us/b4s3 Fuji X-E4: https://geni.us/A1li Sony 24-70mm 2.8 GM II: https://geni.us/7VcYQ Sony 85mm 1.8: https://geni.us/cFIG8Bj Sony 35mm 1.4 GM: https://geni.us/ebWR8 Sony 20mm 1.8 G: https://geni.us/cOQd Fuji 27mm: https://geni.us/NA8jzpF Freewell Variable ND Filter: https://geni.us/vPo2FNd Tiffen Black Pro Mist 1/4 Filter: https://geni.us/8y4w Hollywood Blackmagic Filter: https://geni.us/ZrqgK Sandisk 64gb SD card: https://geni.us/K5wmG Sony 160gb CF Express Type A Card: https://geni.us/aqf4iz Sony 80gb CF Express Type A Card: https://geni.us/Y4LaSK Sony CF Express Type A Card Reader: https://geni.us/8lx2Y0 Aputure MC RGB Light: https://geni.us/mHC3w Laofas 35"" Softbox: https://geni.us/tTUlG9 Aputure Lantern: https://geni.us/TeriWOt Great Affordable Studio Light: https://geni.us/cAuS Sony WH 1000XM4 Headphones: https://geni.us/oKy1Pt Sony WH 1000 XM5 Headphones: https://geni.us/9APGx Apple AirPods Max: https://geni.us/mAkv6Y5 DJI Ronin SC: https://geni.us/LKIruu DJI RS2: https://geni.us/FCV8R Peak Design 30L Everyday Backpack: https://geni.us/FxnmU Samsung T7 Hard Drive: https://geni.us/BKHn WD 5TB Hard Drive: https://geni.us/2Dm8c1 Anker USB C Hub: https://geni.us/H8wf1o iPad Mini 6: https://geni.us/3YrZYVS Manfrotto BeFree Video Tripod: https://geni.us/VXtE9q Manfrotto Photo Tripod: https://geni.us/HOJVj7 RODE Videomic NTG: https://geni.us/SEv2B9 Tentacle Sync Track E: https://geni.us/PFP1 Deity S Mic 2s: https://geni.us/P6AM Deity HDTX: https://geni.us/JgErJg Deity D3: https://geni.us/87zA Sony Batteries: https://geni.us/MDhWi Polar Pro 6-9 Stop ND Filter: https://geni.us/fLRn Polar Pro 2-5 Stop ND Filter: https://geni.us/FotAV Awesome 5 in 1 Reflector with Hand Grips: https://geni.us/5wjx8 Mic Stand: https://geni.us/ny9KBFH Andycine Moniter: https://geni.us/8miaHSD Small Tabletop Mic Stand: https://geni.us/G66uj37 ATH-M50x Headphones: https://geni.us/FAEhW Mask: https://geni.us/cEOEguQ  Some of the links in my video descriptions are affiliate links, which means at no extra cost to you, I will make a small commission if you click them and make a qualifying purchase. They are all genuine recommendations or the gear I personally use.",329095,6083,0
30,vcO43qPu9e4,PAINFULLY HONEST TECH,2022-07-29 22:04:34+00:00,Sony WH1000XM5: Painfully Honest Review,"Is Sony back on top of the wireless noise canceling headphone heap with their new WH1000XM5 model? In this video, I compare them to the WH1000XM4 and the AirPods Max to see how they fare. 🔥Check out https://jasontlewis.com. Join the mailing list! 🎙 Follow me on my Amazon Live Channel: https://www.amazon.com/shop/painfullyhonesttech 💥Become a channel member: https://tinyurl.com/thyrzbf  🎤 Subscribe to my music channel: https://bit.ly/3zqmH6C 👍 Subscribe to the Live channel: https://bit.ly/3zmEuuo ++++ 💥 MY SOCIAL MEDIA LINKS AND MORE:  https://linktr.ee/painfullyhonesttech ++++ In This Video: Sony WH1000XM5: https://geni.us/wh1000xm5PHT Sony WH1000XM4: https://geni.us/q1a52lh Apple Airpods Max: https://geni.us/sIbynT +++++  Gear I Use:  UAD Apollo Twin X: https://geni.us/UADTwinX Rode PodMic: https://geni.us/pmSbEY  Rode PSA1: https://geni.us/psa1PHT Sony ZV-1: https://geni.us/zv-1PHT Sony A7iii: https://geni.us/a7iiiPHT Rokinon 24mm F2.8 FE Mount:  https://geni.us/rokinon24PHT Tamron 17-28 F2.8 FE Mount: https://geni.us/bxsWC Atem Mini: https://geni.us/atemPHT Streamdeck: https://geni.us/atemminiPHT Razer Raptor: https://geni.us/raptorpht Razer Blade 15 2020: https://geni.us/blade15PHT Beyer Dynamic DT770: https://geni.us/dt770PHT ++++  🏆 I use TubeBuddy to optimize my videos: https://www.tubebuddy.com/PainfullyHonestTech  ++++  📖 Try Audible and Get a Free audiobook: http://www.audibletrial.com/painfullyhonesttech ++++ 📽 Restream lets you stream to 10 different platforms. Try it today for FREE! https://restream.grsm.io/PHT  #JasonTLewis #noisecancelling #Sonywh1000xm5",47262,909,0
31,XEwWMd57zWs,This is Tech Today,2022-05-12 16:00:18+00:00,Sony WH-1000XM5: What makes them Different than the XM4s?,"The Sony WH-1000XM5 Active Noise Cancellation (ANC) Headphones are finally here, and in this first-impressions review, you'll be able to hear about the differences between the Sony XM5 and the Sony XM4 as I compare them. You'll even get a chance to hear a sample of the full in-depth review of the Sony WH-1000 XM5 which is coming out soon!  🔥PURCHASE the Sony WH-1000XM5: https://shop-links.co/chd8pfIMILO (affiliate)  🔥🔥🔥WATCH THE DEFINITIVE, IMMERSIVE, EXPERIENTIAL REVIEW AND COMPARISON OF THE SONY-WH-1000XM4 AND OTHER HEADPHONES BY AN AUDIO ENGINEER: https://youtu.be/6WTHBCZBt_E  --WATCH MORE-- 📺Sony RS5 + HT-A5000 Dolby Atmos Soundbar and 360 Spatial Audio Showcase: https://youtu.be/UUuJEGWrY8s 🔊 Comparing and reviewing every Samsung Galaxy Bud: https://youtu.be/xAnxYpyaQTE 🎧 An Audio Engineers Review of the APPLE AIRPODS PRO: https://youtu.be/W9SnxoiPrzg 🎧 Two Professional Audio Engineers Try Airpods Pro for the first time: https://youtu.be/aoSFrUhSgCI  BECOME A CHANNEL MEMBER FOR EXCLUSIVE CONTENT: https://www.youtube.com/channel/UCEAMLkMKtq6YhmaZdUT1ywA/join  --- FOLLOW ME and BE IN COMMUNITY --- 🐦Twitter, Instagram, TikTok, and Facebook @thisistechtoday 👨‍👩‍👧‍👦Community DISCORD CHAT: https://myte.ch/discord 🌎MY WEBSITE http://www.thisistechtoday.com  👕MERCH: https://myte.ch/merch2019 and get 5% OFF with code PIXELPEEPER  --- MY TECH --- 🟨 My Amazon Storefront of My Favorite Products (make sure to follow me!): https://myte.ch/amazon 📸 The GEAR I use to make my videos! https://myte.ch/kit 🪑 My Desks, Chairs, and Furniture are by Fully! https://bit.ly/32dAiOL  - Jarvis Laminate Standing Desk - https://bit.ly/3iWHbuv - Colbe Bamboo Shelving Unit - https://bit.ly/2EeomUK - Capisco Chair - https://bit.ly/2YhfRPS - Tic Toc Chair - https://bit.ly/34h808H  🎶Where I get my MUSIC: https://myte.ch/musicbed ▶️YOUTUBERS you have to use TubeBuddy. It's what I use (affiliate): https://www.tubebuddy.com/thisistechtoday  📖HELP CLOSE CAPTION & TRANSLATE: https://myte.ch/cc  🌅Where to get the WALLPAPERS I use: http://bit.ly/wallpapermegathread 🚗 Get a Free Lyft Ride with Code: LEE83209  🔥BUSINESS INQUIRIES & SPONSORSHIPS: brandon -at- ricebowlmedia.com  📬Want to send me something? 15068 Rosecrans Ave # 260 La Mirada CA 90638  0:00 Intro 0:27 An Important point about ""Reviews"" right now. You can't get high-quality audio or access to features without the App, and we JUST got the app. Use that information how you will. 0:39 When my In-Depth Review is coming and what it is like 1:00 Audio Sound sample and comparison 1:48 Unboxing and Impressions on fit and finish 4:01 What the XM5s have in common with the XM4s 4:20 No NFC Support 4:23 Comments on the ""finish"" and feel 5:06 Differences in Processors, ANC, and Microphones 6:13 Frequency Range, speakers, etc. 7:03 Battery Life, weight, and Bluetooth 7:29 The items YOU want me to review and cover 7:53 Ruby takes over the video 😊  Disclosure: As an Amazon Associate I earn from qualifying purchases. I utilize affiliate links and may receive a commission from them, and at times may receive items for review from various brands. Despite that, I promise to always provide an honest & an unbiased as possible review because you deserve the best. All sponsorships will be clearly stated because transparency & trust are important to me!",78756,2308,0
32,3BaOChNrzPw,HotshotTek,2022-06-05 21:54:21+00:00,Sony WH-1000XM5 - Tips & Tricks - The Best Settings!,"➖➖➖➖➖➖➖➖➖➖➖➖➖➖➖➖➖ Product links (Latest sales)   Amazon: Sony WH-1000XM5  - https://amzn.to/3zgkcGk  BestBuy:  Sony WH-1000XM5 - https://shop-links.co/chm59eepVSm  ➖➖➖➖➖➖➖➖➖➖➖➖➖➖➖➖➖ Other Videos:  ➡ Apple Watch Must-Have Accessories - Screen Protector. Case. Charger: https://www.youtube.com/watch?v=yIsu8F784rY&t=3s  ➡Apple Watch Series 4 & 5 Protection Cases Review: https://www.youtube.com/watch?v=isUB-Fz-RLc  ➖➖➖➖➖➖➖➖➖➖➖➖➖➖➖➖➖ Social Media Links: Instagram: https://www.instagram.com/eddien7/ SnapChat: @EddieN7 Twitter: https://twitter.com/HOTSHOTN7 Twitch: https://www.twitch.tv/hotshot2ss  Amazon Promotions: Try Audible and Get TWO FREE Audiobooks!: https://amzn.to/2QjQJCM Try Amazon Prime 30-Day FREE TRIAL: https://amzn.to/2Qq2k3i Amazon FreeTime Unlimited FREE trial: https://amzn.to/2W1fsBI  Disclaimer, Our links may be affiliated with Amazon and other stores to find out more click here.  http://bit.ly/2DiiOVI  #SonyXM5  #XM5 #Sony",121251,1921,0
